"id","input_address","match","match_type","out_address","lat","lon","tiger_line_id","tiger_line_side","state_fips","county_fips","tract_fips","block_fips"
1,"-  13913 CHERRY CREEK DRIVE, TAMPA, FL, 33618","Match","Exact","13913 CHERRY CREEK DR, TAMPA, FL, 33618",28.080053408,-82.495379535,"104510787","R","12","057","011301","2004"
2,"-2913, OREGON CITY, OR, 97045","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"-8419 TUPELO DR, TAMPA, FL, 33637","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"0 PRINCE STREET, ALEXANDRIA, VA, 22314","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"0 S 425 FLORIDA LANE, WINFIELD, IL, 60190","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"0-44 PINE AVE, FAIR LAWN, NJ, 7410","Match","Exact","0-44 PINE AVE, FAIR LAWN, NJ, 07410",40.9207995260001,-74.103531672,"64381187","L","34","003","017502","3012"
7,"0-87 BLUE HILL AVE, FAIR LAWN, NJ, 7410","Match","Exact","0-87 BLUE HILL AVE, FAIR LAWN, NJ, 07410",40.9226039760001,-74.093574674,"651700626","R","34","003","017502","2001"
8,"000 SOCKEYE DR, KING SALMON, AK, 99613","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"0077 RED BARN, EDWARDS, CO, 81632","Match","Non_Exact","77 RED BARN ST, EDWARDS, CO, 81632",39.6423676220001,-106.580241647,"234547819","L","08","037","000401","2019"
10,"01 APPLE MOUNTAIN RD, ESTANCIA, NM, 87016","Match","Exact","1 APPLE MOUNTAIN RD, ESTANCIA, NM, 87016",34.7996835660001,-106.257173238,"611097771","L","35","057","963601","5013"
11,"01 BERRY HILL RD, LOS LUNAS, NM, 87031","Match","Exact","1 BERRY HILL RD, LOS LUNAS, NM, 87031",34.7842411890001,-106.686973964,"179193983","R","35","061","970304","1011"
12,"010 MAC DAVIS LANE SUITE 1, LUBBOCK, TX, 79401","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"010 MATHIS ROAD, FARMINGTON, KY, 42040","Match","Exact","10 MATHIS RD, FARMINGTON, KY, 42040",36.6040829310001,-88.504928397,"27874816","R","21","083","020400","2035"
