"id","input_address","match","match_type","out_address","lat","lon","tiger_line_id","tiger_line_side","state_fips","county_fips","tract_fips","block_fips"
1,"100 CIRCLE DRIVE, HORSE CAVE, KY, 42749","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"100 CIRCLE DRIVE, WAURIKA, OK, 73573","Match","Exact","100 CIRCLE DR, WAURIKA, OK, 73573",34.163336214,-97.991924587,"15294739","L","40","067","371800","3044"
3,"100 CIVIC CENTER PLAZA, LOMPOC, CA, 93436","Match","Exact","100 CIVIC CENTER PLZ, LOMPOC, CA, 93436",34.638840165,-120.45282423,"108660959","R","06","083","002708","1011"
4,"100 CLAREMONT LANE SUITE 7, PALM BEACH SHORES, FL, 33404","Match","Exact","100 CLAREMONT LN, PALM BEACH SHORES, FL, 33404",26.7769644320001,-80.03363118,"115277906","L","12","099","000513","2013"
5,"100 CLARK COURT, RUTHERFORD, NJ, 7070","Match","Exact","100 CLARK CT, RUTHERFORD, NJ, 07070",40.8398209330001,-74.121725999,"64394103","R","34","003","051100","4001"
6,"100 CLEVELAND AVENUE, VERSAILLES, KY, 40383","Match","Exact","100 CLEVELAND AVE, VERSAILLES, KY, 40383",38.0572325840001,-84.723451158,"38496117","L","21","239","050104","3011"
7,"100 CLIFTON PLACE  STE 103, JERSEY CITY, NJ, 7304","Match","Exact","100 CLIFTON PL, JERSEY CITY, NJ, 07304",40.721332767,-74.064503535,"624560701","R","34","017","003101","2001"
8,"100 CLUB COURT, ALPHARETTA, GA, 30005","Match","Exact","100 CLUB CT, ALPHARETTA, GA, 30005",34.0889363540001,-84.2226465219999,"17377392","R","13","121","011653","2000"
9,"100 CLUB DRIVE STE 210, BURNSVILLE, NC, 28714","Match","Exact","100 CLUB DR, BURNSVILLE, NC, 28714",35.870192994,-82.345468969,"37429734","L","37","199","960300","1037"
10,"100 COBBLE CREEK ROAD, VICTOR, NY, 14564","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"100 CODDINGTON STREET, QUINCY, MA, 2169","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"100 CODY DRIVE, GRIFFIN, GA, 30223","Match","Exact","100 CODY DR, GRIFFIN, GA, 30223",33.29434158,-84.303135953,"618709790","L","13","255","160500","3012"
13,"100 COLCHESTER ROAD, ESSEX JCT, VT, 5452","Match","Exact","100 COLCHESTER RD, ESSEX JCT, VT, 05452",44.5039571290001,-73.1155616579999,"135856867","L","50","007","002701","2015"
14,"100 COLFAX AVE APT 4Z, STATEN ISLAND, NY, 10306","Match","Exact","100 COLFAX AVE, STATEN ISLAND, NY, 10306",40.579967835,-74.1078874729999,"59868309","R","36","085","011402","2004"
15,"100 COLLEGE AVE SUITE 130, ROCHESTER, NY, 14607","Match","Exact","100 COLLEGE AVE, ROCHESTER, NY, 14607",43.1594173610001,-77.587284655,"14540795","L","36","055","001000","3002"
16,"100 COLLEGE AVE, NEW BRUNSWICK, NJ, 8901","Match","Exact","100 COLLEGE AVE, NEW BRUNSWICK, NJ, 08901",40.501365277,-74.450002556,"637781775","L","34","023","005100","2012"
17,"100 COLLEGE AVENUE PO BOX 346, ELAINE, AR, 72333","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"100 COLLEGE DRIVE, ALLENTOWN, PA, 18104","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"100 COLONY DRIVE, ROYAL PALM BEACH, FL, 33411","Match","Exact","100 COLONY DR, ROYAL PALM BEACH, FL, 33411",26.697198315,-80.2296636359999,"115562706","R","12","099","007812","2005"
20,"100 COLUMBIA ROAD 54, WALDO, AR, 71770","Match","Exact","100 COLUMBIA ROAD 54, WALDO, AR, 71770",33.3294013340001,-93.3759337669999,"606527619","R","05","027","950302","2012"
21,"100 COMMERCE DRIVE UNIT 891, TYRONE, GA, 30290","Match","Exact","100 COMMERCE DR, TYRONE, GA, 30290",33.477476885,-84.596190214,"75951887","R","13","113","140203","1014"
22,"100 COMMODORE DRIVE 526, PLANTATION, FL, 33325","Match","Exact","100 COMMODORE DR, PLANTATION, FL, 33325",26.119912415,-80.3251243719999,"114697749","R","12","011","060122","2011"
23,"100 COMMONS RD   STE 7-322, DRIPPING SPRINGS, TX, 78620","Match","Exact","100 COMMONS RD, DRIPPING SPRINGS, TX, 78620",30.1920215420001,-98.084683609,"651531769","L","48","209","010809","3043"
24,"100 COMMONS ROAD, DRIPPING SPRINGS, TX, 78620","Match","Exact","100 COMMONS RD, DRIPPING SPRINGS, TX, 78620",30.1920215420001,-98.084683609,"651531769","L","48","209","010809","3043"
25,"100 COMMUNITY XING, UNIONVILLE, TN, 37180","Match","Exact","100 COMMUNITY CROSSING, UNIONVILLE, TN, 37180",35.6038866970001,-86.570820813,"642964842","L","47","003","950202","3008"
26,"100 COMPTON FAMILY ICE ARENA, NOTRE DAME, IN, 46556","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"100 COOLBROOK DR, GREENVILLE, SC, 29605","Match","Exact","100 COOLBROOK DR, GREENVILLE, SC, 29605",34.788962654,-82.37252391,"38306192","R","45","045","002005","1008"
28,"100 COOLBROOK DRIVE, GREENVILLE, SC, 29605","Match","Exact","100 COOLBROOK DR, GREENVILLE, SC, 29605",34.788962654,-82.37252391,"38306192","R","45","045","002005","1008"
29,"100 COOPERS HAWK DRIVE, CONWAY, AR, 72034","Match","Exact","100 COOPERS HAWK DR, CONWAY, AR, 72034",35.0786862790001,-92.5150207039999,"650171509","R","05","045","030504","3027"
30,"100 CORPORATE PARKWAY ONE LAKE LEVE, BIRMINGHAM, AL, 35242","Match","Exact","100 CORPORATE PKWY, BIRMINGHAM, AL, 35242",33.417052964,-86.6821713749999,"221538344","R","01","117","030330","3016"
31,"100 COSTA RICA AVENUE, BURLINGAME, CA, 94010","Match","Exact","100 COSTA RICA AVE, BURLINGAME, CA, 94010",37.5716588700001,-122.348378463,"192376858","R","06","081","605502","2015"
32,"100 COTTONWOOD COURT, NORTH AUGUSTA, SC, 29860","Match","Exact","100 COTTONWOOD CT, NORTH AUGUSTA, SC, 29860",33.5750147370001,-81.949996175,"633628113","R","45","003","020500","3012"
33,"100 COUNTY SERVICES PARK, SYLVA, NC, 28779","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"100 COURT HOUSE SQ 301, WAYNESBORO, TN, 38485","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"100 COURTHOUSE DRIVE SUITE 1100, ARCADIA, LA, 71001","Match","Exact","100 COURTHOUSE DR, ARCADIA, LA, 71001",32.547560914,-92.925549345,"114410205","R","22","013","970100","4033"
36,"100 COVEY DRIVE  SUITE 204, FRANKLIN, TN, 37067","Match","Exact","100 COVEY DR, FRANKLIN, TN, 37067",35.9145322630001,-86.820798437,"607912491","R","47","187","051001","1042"
37,"100 COVINGTON STREET UNIT 843, MADISONVILLE, LA, 70447","Match","Exact","100 COVINGTON ST, MADISONVILLE, LA, 70447",30.411881597,-90.16107583,"635840214","L","22","103","040308","3012"
38,"100 CRESCENT CENTRE PARKWAY STE 600, TUCKER, GA, 30084","Match","Exact","100 CRESCENT CENTER PKWY, TUCKER, GA, 30084",33.8382413040001,-84.247531502,"23402595","L","13","089","021708","1000"
39,"100 CRESCENT CT STE 1700, DALLAS, TX, 75201","Match","Exact","100 CRESCENT CT, DALLAS, TX, 75201",32.7943658,-96.8033525389999,"102909121","L","48","113","001802","1021"
40,"100 CRESCENT CT STE 700, DALLAS, TX, 75201","Match","Exact","100 CRESCENT CT, DALLAS, TX, 75201",32.7943658,-96.8033525389999,"102909121","L","48","113","001802","1021"
41,"100 CRESCENT CT SUITE 700, DALLAS, TX, 75201","Match","Exact","100 CRESCENT CT, DALLAS, TX, 75201",32.7943658,-96.8033525389999,"102909121","L","48","113","001802","1021"
42,"100 CRESTLINE DRIVE, PLEASANTON, TX, 78064","Match","Exact","100 CRESTLINE DR, PLEASANTON, TX, 78064",28.9758537880001,-98.518026063,"24456591","R","48","013","960404","1026"
43,"100 CRESTVIEW DRIVE, CEDAR PARK, TX, 78613","Match","Exact","100 CRESTVIEW DR, CEDAR PARK, TX, 78613",30.516282824,-97.806793689,"617954349","R","48","491","020350","2000"
44,"100 CROSSING BLVD, FRAMINGHAM, MA, 1702","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"100 CROSSWAYS PARK WEST SUITE 403, WOODBURY, NY, 11797","Match","Non_Exact","100 CROSSWAYS PARK DR W, WOODBURY, NY, 11797",40.8101970110001,-73.487544734,"147640482","R","36","059","518204","3006"
46,"100 CROSSWICKS ST, BORDENTOWN, NJ, 8505","Match","Exact","100 CROSSWICKS ST, BORDENTOWN, NJ, 08505",40.1462480010001,-74.707844563,"134050379","R","34","005","701700","2013"
47,"100 CROSSWICKS STREET, BORDENTOWN, NJ, 8505","Match","Exact","100 CROSSWICKS ST, BORDENTOWN, NJ, 08505",40.1462480010001,-74.707844563,"134050379","R","34","005","701700","2013"
48,"100 CULBERTSON UNIT 5242, BOZEMAN, MT, 59717","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"100 CUMMINGS CENTER SUITE 207P, BEVERLY, MA, 1915","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"100 CUMMINGS CENTER SUITE 307G, BEVERLY, MA, 1915","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"100 DARBY CREEK LN UNIT 121, MORRISVILLE, NC, 27560","Match","Exact","100 DARBY CREEK LN, MORRISVILLE, NC, 27560",35.9182996430001,-78.813249045,"71770499","R","37","063","002038","1004"
52,"100 DARROW PLACE APT 20D, BRONX, NY, 10475","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"100 DAY ROAD, VENTURA, CA, 93003","Match","Exact","100 DAY RD, VENTURA, CA, 93003",34.2780569780001,-119.22679976,"640537310","R","06","111","001801","2011"
54,"100 DAYTON STREET, YELLOW SPRINGS, OH, 45387","Match","Exact","100 DAYTON ST, YELLOW SPGS, OH, 45387",39.8072602330001,-83.887310369,"644185541","R","39","057","255000","3003"
55,"100 DEBS PLACE  APT 5A, BRONX, NY, 10475","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"100 DECATUR STREET SE, ATLANTA, GA, 30303","Match","Exact","100 DECATUR ST SE, ATLANTA, GA, 30303",33.7530737330001,-84.3875672889999,"17433642","L","13","121","011901","3024"
57,"100 DEHAVEN DRIVE, YONKERS, NY, 10703","Match","Exact","100 DEHAVEN DR, YONKERS, NY, 10703",40.964713912,-73.881490233,"139840288","R","36","119","000801","1002"
58,"100 DELAWARE AVENUE, COLONIA, NJ, 7067","Match","Exact","100 DELAWARE AVE, COLONIA, NJ, 07067",40.602647706,-74.319745594,"60272401","L","34","023","002301","1009"
59,"100 DELFT DR, PELLA, IA, 50219","Match","Exact","100 DELFT DR, PELLA, IA, 50219",41.4128149570001,-93.016547384,"89476549","R","19","125","030101","2103"
60,"100 DENNISTON AVE APT 80, PITTSBURGH, PA, 15206","Match","Exact","100 DENNISTON AVE, PITTSBURGH, PA, 15206",40.457794231,-79.918151305,"639083897","R","42","003","070800","1005"
61,"100 DENNISTON AVENUE/   9, PITTSBURGH, PA, 15206","Match","Non_Exact","100 DENNISTON AVE, PITTSBURGH, PA, 15206",40.457794231,-79.918151305,"639083897","R","42","003","070800","1005"
62,"100 DENNISTON STREET APARTMENT 93, PITTSBURGH, PA, 15206","Match","Non_Exact","100 DENNISTON AVE, PITTSBURGH, PA, 15206",40.457794231,-79.918151305,"639083897","R","42","003","070800","1005"
63,"100 DENTY DRIVE, BRUNSWICK, GA, 31525","Match","Exact","100 DENTY DR, BRUNSWICK, GA, 31525",31.2309224530001,-81.451865444,"211211897","L","13","127","000403","2032"
64,"100 DEVONSHIRE, IRVINE, CA, 92620","Match","Exact","100 DEVONSHIRE, IRVINE, CA, 92620",33.708892104,-117.746712467,"641617371","L","06","059","052429","1008"
65,"100 DEW FALL TRL, CIBOLO, TX, 78108","Match","Exact","100 DEW FALL TRL, CIBOLO, TX, 78108",29.5863792000001,-98.24761145,"234719151","L","48","187","210712","2006"
66,"100 DIAMOND RANCH ROAD, POMONA, CA, 91766","Match","Exact","100 DIAMOND RANCH RD, POMONA, CA, 91766",34.022625261,-117.777024608,"142841616","L","06","037","403321","3000"
67,"100 DILLON DRIVE, YOUNGSVILLE, PA, 16371","Match","Exact","100 DILLON DR, YOUNGSVILLE, PA, 16371",41.846093835,-79.304423368,"630468447","R","42","123","970500","4006"
68,"100 DIVISION ST PO BOX 69, PORTLAND, PA, 18351","Match","Exact","100 DIVISION ST, PORTLAND, PA, 18351",40.922501992,-75.0975234759999,"136957699","L","42","095","018300","4052"
69,"100 DIXWELL AVENUE, QUINCY, MA, 2169","Match","Exact","100 DIXWELL AVE, QUINCY, MA, 02169",42.2486871020001,-71.006299976,"87274162","L","25","021","418101","2005"
70,"100 DOCTORS DRIVE, FRANKFORT, KY, 40601","Match","Exact","100 DOCTORS DR, FRANKFORT, KY, 40601",38.1614616790001,-84.907927982,"639448302","R","21","073","070405","1003"
71,"100 DOLPHIN CT, BRONX, NY, 10473","Match","Exact","100 DOLPHIN CT, BRONX, NY, 10473",40.8071839140001,-73.850548121,"650171153","L","36","005","000400","3000"
72,"100 DONIZETTI PL 2A, BRONX, NY, 10475","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"100 DONIZETTI PLACE APT 21B, BRONX, NY, 10475","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"100 DOUGLAS PARK DR, ST AUGUSTINE, FL, 32084","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"100 DRAKE DR UNIT 101, NORMAL, AL, 35762","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"100 DRAKE DRIVE  PO BOX 1051, NORMAL, AL, 35762","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"100 DUDLEY AVE UNIT E22, OLD SAYBROOK, CT, 6475","Match","Exact","100 DUDLEY AVE, OLD SAYBROOK, CT, 06475",41.294324616,-72.374414728,"113878466","R","09","007","670200","1006"
78,"100 DUNWOODY RD APT 124, WINSTON SALEM, NC, 27127","Match","Exact","100 DUNWOODY RD, WINSTON SALEM, NC, 27127",36.0442758680001,-80.2625558139999,"84691694","R","37","067","003701","3011"
79,"100 DUTCH HILL RD SUITE 210, ORANGEBURG, NY, 10962","Match","Exact","100 DUTCH HILL RD, ORANGEBURG, NY, 10962",41.0433645040001,-73.954939118,"124599712","R","36","087","013002","2020"
80,"100 DUTCH HILL ROAD SUITE 210, ORANGEBURG, NY, 10962","Match","Exact","100 DUTCH HILL RD, ORANGEBURG, NY, 10962",41.0433645040001,-73.954939118,"124599712","R","36","087","013002","2020"
81,"100 DUTCH ROAD, CHARLESTON, WV, 25302","Match","Exact","100 DUTCH RD, CHARLESTON, WV, 25302",38.3892256830001,-81.593402429,"78594928","L","54","039","011000","2003"
82,"100 DUVAL RD, LANCASTER, MA, 1523","Match","Exact","100 DUVAL RD, LANCASTER, MA, 01523",42.5224599370001,-71.710983853,"40058047","L","25","027","713100","4007"
83,"100 E 14TH ST 1701, CHICAGO, IL, 60605","Match","Non_Exact","100 E 14TH ST, CHICAGO, IL, 60605",41.864127051,-87.624029034,"616787793","L","17","031","330102","2005"
84,"100 E 14TH ST UNIT 2810, CHICAGO, IL, 60605","Match","Non_Exact","100 E 14TH ST, CHICAGO, IL, 60605",41.864127051,-87.624029034,"616787793","L","17","031","330102","2005"
85,"100 E 15TH STE 410, FORT WORTH, TX, 76102","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"100 E 18TH ST 4A, BROOKLYN, NY, 11226","Match","Non_Exact","100 18TH ST, BROOKLYN, NY, 11215",40.665436293,-73.99566879,"652212794","R","36","047","014300","2004"
87,"100 E 1ST STREET, CRAIGSVILLE, VA, 24430","Match","Non_Exact","100 1ST AVE, CRAIGSVILLE, VA, 24430",38.081607422,-79.380569771,"640191962","L","51","015","070100","2023"
88,"100 E 27TH ST, AUSTIN, TX, 78705","Match","Exact","100 E 27TH ST, AUSTIN, TX, 78705",30.2917506380001,-97.737671366,"63945659","L","48","453","000601","1009"
89,"100 E 27TH STREET, AUSTIN, TX, 78705","Match","Exact","100 E 27TH ST, AUSTIN, TX, 78705",30.2917506380001,-97.737671366,"63945659","L","48","453","000601","1009"
