"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
233501,"5109 LITCHFIELD RD","FORT WAYNE","IN",46835,41.127721724,-85.0280191909999,1,"5109 LITCHFIELD RD, FORT WAYNE, IN, 46835","Match","Exact","5109 LITCHFIELD RD, FORT WAYNE, IN, 46835",6391479,"R"
233502,"5109 MAGNOLIA TREE LANE","CHARLOTTE","NC",28215,35.228296544,-80.733681414,2,"5109 MAGNOLIA TREE LANE, CHARLOTTE, NC, 28215","Match","Exact","5109 MAGNOLIA TREE LN, CHARLOTTE, NC, 28215",70595192,"R"
233503,"5109 MONTVILLE TRAILS DR","MEDINA","OH",44256,41.109345848,-81.872519466,3,"5109 MONTVILLE TRAILS DR, MEDINA, OH, 44256","Match","Exact","5109 MONTVILLE TRAILS DR, MEDINA, OH, 44256",632326028,"R"
233504,"5109 PROVENCIAL DR","AUSTIN","TX",78724,30.2863660990001,-97.66215692,4,"5109 PROVENCIAL DR, AUSTIN, TX, 78724","Match","Exact","5109 PROVENCIAL DR, AUSTIN, TX, 78724",63951840,"R"
233505,"5109 ROCK WATER DR","LOUISVILLE","KY",40241,38.3188005960001,-85.537804678,5,"5109 ROCK WATER DR, LOUISVILLE, KY, 40241","Match","Exact","5109 ROCK WATER DR, LOUISVILLE, KY, 40241",624268021,"R"
233506,"5109 SE 104TH AVE","PORTLAND","OR",97266,45.4852893460001,-122.555730248,6,"5109 SE 104TH AVE, PORTLAND, OR, 97266","Match","Exact","5109 SE 104TH AVE, PORTLAND, OR, 97266",638570119,"R"
233507,"5109 SOUTH LINKS CIRCLE","SUFFOLK","VA",23435,36.872415442,-76.4521721309999,7,"5109 SOUTH LINKS CIRCLE, SUFFOLK, VA, 23435","Match","Exact","5109 S LINKS CIR, SUFFOLK, VA, 23435",637326049,"L"
233508,"5109 SUMMERBROOK DRIVE","COLLEYVILLE","TX",76034,32.8837630790001,-97.128524431,8,"5109 SUMMERBROOK DRIVE, COLLEYVILLE, TX, 76034","Match","Exact","5109 SUMMERBROOK DR, COLLEYVILLE, TX, 76034",102090929,"R"
233509,"5109 SW 139TH AVENUE","MIRAMAR","FL",33027,25.960098354,-80.330467099,9,"5109 SW 139TH AVENUE, MIRAMAR, FL, 33027","Match","Exact","5109 SW 139TH AVE, MIRAMAR, FL, 33027",617659973,"L"
233510,"5109 TEN TEN ROAD","APEX","NC",27539,35.687442151,-78.7570331909999,10,"5109 TEN TEN ROAD, APEX, NC, 27539","Match","Exact","5109 TEN TEN RD, APEX, NC, 27539",644907205,"L"
233511,"5109 TYLER ST","SACRAMENTO","CA",95841,38.6592370880001,-121.358366858,11,"5109 TYLER ST, SACRAMENTO, CA, 95841","Match","Exact","5109 TYLER ST, SACRAMENTO, CA, 95841",133332602,"L"
233512,"5109 WEEPING CHERRY DR","BROWNS SUMMIT","NC",27401,36.1492424520001,-79.779335695,12,"5109 WEEPING CHERRY DR, BROWNS SUMMIT, NC, 27401","Match","Non_Exact","5109 WEEPING CHERRY DR, BROWNS SUMMIT, NC, 27214",131097914,"L"
233513,"5109 WINDMILL PL","EVANS","GA",30809,33.564001321,-82.19540749,13,"5109 WINDMILL PL, EVANS, GA, 30809","Match","Exact","5109 WINDMILL PL, EVANS, GA, 30809",55381885,"R"
233514,"5109 WINTON ROAD UNIT A","FAIRFIELD","OH",45014,39.338966902,-84.53959723,14,"5109 WINTON ROAD UNIT A, FAIRFIELD, OH, 45014","Match","Exact","5109 WINTON RD, FAIRFIELD, OH, 45014",113819425,"R"
233515,"5109-B WEST ENTERPRISE ST","N CHAS","SC",29405,NA,NA,15,"5109-B WEST ENTERPRISE ST, N CHAS, SC, 29405","No_Match",NA,NA,NA,NA
233516,"510A WEST BANKHEAD STREET","NEW ALBANY","MS",38652,34.4973530870001,-89.021753233,16,"510A WEST BANKHEAD STREET, NEW ALBANY, MS, 38652","Match","Exact","510 W BANKHEAD ST, NEW ALBANY, MS, 38652",647878482,"L"
233517,"511 14 STREET NE","NAPLES","FL",34120,26.2384968690001,-81.57847101,17,"511 14 STREET NE, NAPLES, FL, 34120","Match","Exact","511 14TH ST NE, NAPLES, FL, 34120",115132121,"L"
233518,"511 15TH ST","SPIRIT LAKE","IA",51360,43.425547485,-95.0978839319999,18,"511 15TH ST, SPIRIT LAKE, IA, 51360","Match","Exact","511 15TH ST, SPIRIT LAKE, IA, 51360",9805162,"L"
233519,"511 1ST AVENUE","ELIZABETH","NJ",7206,40.653808143,-74.199513924,19,"511 1ST AVENUE, ELIZABETH, NJ, 7206","Match","Exact","511 1ST AVE, ELIZABETH, NJ, 07206",60579288,"R"
233520,"511 1ST ST S","MONTGOMERY","MN",56069,44.433569871,-93.581085195,20,"511 1ST ST S, MONTGOMERY, MN, 56069","Match","Exact","511 1ST ST S, MONTGOMERY, MN, 56069",28659662,"R"
233521,"511 4TH AVE 1","ASBURY PARK","NJ",7712,40.223731049,-74.006117865,21,"511 4TH AVE 1, ASBURY PARK, NJ, 7712","Match","Exact","511 4TH AVE, ASBURY PARK, NJ, 07712",90464797,"R"
233522,"511 5TH ST NE","CLARA CITY","MN",56222,NA,NA,22,"511 5TH ST NE, CLARA CITY, MN, 56222","No_Match",NA,NA,NA,NA
233523,"511 6TH AVE SUITE 122","NEW YORK","NY",10011,40.736844519,-73.9972199429999,23,"511 6TH AVE SUITE 122, NEW YORK, NY, 10011","Match","Exact","511 6TH AVE, NEW YORK, NY, 10011",59653334,"L"
233524,"511 ALANDELE AVE","LOS ANGELES","CA",90036,34.0664301830001,-118.356941934,24,"511 ALANDELE AVE, LOS ANGELES, CA, 90036","Match","Exact","511 ALANDELE AVE, LOS ANGELES, CA, 90036",141599044,"R"
233525,"511 ALCOTT DR APT 26A","COLUMBIA","SC",29203,34.061380925,-81.026019548,25,"511 ALCOTT DR APT 26A, COLUMBIA, SC, 29203","Match","Exact","511 ALCOTT DR, COLUMBIA, SC, 29203",647337259,"R"
233526,"511 ALEXANDER PL","GARRETT","IN",46738,41.3316364030001,-85.130260202,26,"511 ALEXANDER PL, GARRETT, IN, 46738","Match","Exact","511 ALEXANDER PL, GARRETT, IN, 46738",640683992,"R"
233527,"511 AUTUMN RIDGE RD UNIT 202","LAKE IN THE HILLS","IL",60156,42.1777875340001,-88.346323048,27,"511 AUTUMN RIDGE RD UNIT 202, LAKE IN THE HILLS, IL, 60156","Match","Exact","511 AUTUMN RIDGE RD, LAKE IN THE HILLS, IL, 60156",647082518,"L"
233528,"511 AVENUE OF THE AMERICA","NEW YORK","NY",10011,40.736844519,-73.9972199429999,28,"511 AVENUE OF THE AMERICA, NEW YORK, NY, 10011","Match","Non_Exact","511 AVE OF THE AMERICAS, NEW YORK, NY, 10011",59653334,"L"
233529,"511 AVENUE OF THE AMERICAS    4030","NEW YORK","NY",10011,40.736844519,-73.9972199429999,29,"511 AVENUE OF THE AMERICAS    4030, NEW YORK, NY, 10011","Match","Exact","511 AVE OF THE AMERICAS, NEW YORK, NY, 10011",59653334,"L"
233530,"511 AVENUE OF THE AMERICAS BOX 304","NEW YORK","NY",10011,40.736844519,-73.9972199429999,30,"511 AVENUE OF THE AMERICAS BOX 304, NEW YORK, NY, 10011","Match","Exact","511 AVE OF THE AMERICAS, NEW YORK, NY, 10011",59653334,"L"
