"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
195001,"3910 1ST AVE S","SAINT PETERSBURG","FL",33711,27.770059459,-82.6866220539999,1,"3910 1ST AVE S, SAINT PETERSBURG, FL, 33711","Match","Exact","3910 1ST AVE S, SAINT PETERSBURG, FL, 33711",124705318,"L"
195002,"3910 ALTA VISTA DR","CORPUS CHRISTI","TX",78410,27.8541479470001,-97.574671751,2,"3910 ALTA VISTA DR, CORPUS CHRISTI, TX, 78410","Match","Exact","3910 ALTA VISTA DR, CORPUS CHRISTI, TX, 78410",633965650,"R"
195003,"3910 AUSHERMAN RD","KNOXVILLE","MD",21758,39.3354738310001,-77.581951211,3,"3910 AUSHERMAN RD, KNOXVILLE, MD, 21758","Match","Exact","3910 AUSHERMAN RD, KNOXVILLE, MD, 21758",625529908,"L"
195004,"3910 BEETHOVEN ST UNIT 11","LOS ANGELES","CA",90066,33.997754172,-118.439651768,4,"3910 BEETHOVEN ST UNIT 11, LOS ANGELES, CA, 90066","Match","Exact","3910 BEETHOVEN ST, LOS ANGELES, CA, 90066",141570543,"L"
195005,"3910 CEDARWOOD DRIVE","PEARLAND","TX",77581,29.537611283,-95.291756786,5,"3910 CEDARWOOD DRIVE, PEARLAND, TX, 77581","Match","Non_Exact","3910 CEDARWOOD DR, PEARLAND, TX, 77584",116603148,"L"
195006,"3910 CENTRAL HEIGHTS ROAD","GOLDSBORO","NC",27534,35.394137126,-77.90151208,6,"3910 CENTRAL HEIGHTS ROAD, GOLDSBORO, NC, 27534","Match","Exact","3910 CENTRAL HEIGHTS RD, GOLDSBORO, NC, 27534",647189056,"R"
195007,"3910 CLAY DRIVE","JONESBORO","AR",72404,35.792577834,-90.702342231,7,"3910 CLAY DRIVE, JONESBORO, AR, 72404","Match","Exact","3910 CLAY DR, JONESBORO, AR, 72404",46934672,"R"
195008,"3910 CONSTELLATION ROAD SUITE 105B","LOMPOC","CA",93436,34.708059759,-120.467336617,8,"3910 CONSTELLATION ROAD SUITE 105B, LOMPOC, CA, 93436","Match","Exact","3910 CONSTELLATION RD, LOMPOC, CA, 93436",108669180,"R"
195009,"3910 CURTIS ST","HOUSTON","TX",77020,29.774598423,-95.3311593769999,9,"3910 CURTIS ST, HOUSTON, TX, 77020","Match","Exact","3910 CURTIS ST, HOUSTON, TX, 77020",96078944,"R"
195010,"3910 DRESDEN STREET","KENSINGTON","MD",20895,39.0205277330001,-77.077736355,10,"3910 DRESDEN STREET, KENSINGTON, MD, 20895","Match","Exact","3910 DRESDEN ST, KENSINGTON, MD, 20895",62061618,"L"
