"id","input_address","match","match_type","out_address","lat","lon","tiger_line_id","tiger_line_side","state_fips","county_fips","tract_fips","block_fips"
1,"10 MILL RIDGE ROAD, DANBURY, CT, 6811","Match","Exact","10 MILL RIDGE RD, DANBURY, CT, 06811",41.3888980940001,-73.480453973,"3230499","L","09","001","210800","2012"
2,"10 MILL STREET, DUDLEY, MA, 1570","Match","Non_Exact","10 MILL ST, DUDLEY HILL, MA, 01570",42.0630003730001,-71.878100503,"40019866","R","25","027","754300","1000"
3,"10 MILLRACE CT, DEARBORN, MI, 48126","Match","Exact","10 MILLRACE CT, DEARBORN, MI, 48126",42.324210889,-83.227024835,"95728263","R","26","163","579900","4008"
4,"10 MILTON STREET, ST AUGUSTINE, FL, 32084","Match","Exact","10 MILTON ST, SAINT AUGUSTINE, FL, 32084",29.911494421,-81.320715025,"636384227","L","12","109","020200","1025"
5,"10 MINNEKAHDA PLACE, CHATTANOOGA, TN, 37405","Match","Exact","10 MINNEKAHDA PL, CHATTANOOGA, TN, 37405",35.0823801720001,-85.289259546,"632156225","R","47","065","000700","1013"
6,"10 MOCKINGBIRD LANE, PINE BLUFF, AR, 71603","Match","Exact","10 MOCKINGBIRD LN, PINE BLUFF, AR, 71603",34.1888952240001,-92.038735152,"2553409","L","05","069","001501","1021"
7,"10 MOHAWK CT, EVESHAM, NJ, 8053","Match","Exact","10 MOHAWK CT, EVESHAM, NJ, 08053",39.917745224,-74.866119769,"617272182","L","34","005","704015","2003"
8,"10 MOHR ROAD, BURLINGTON TOWNSHIP, NJ, 8016","Match","Exact","10 MOHR RD, BURLINGTON TOWNSHIP, NJ, 08016",40.0648363220001,-74.822285772,"134067923","R","34","005","701102","4010"
9,"10 MONTCLAIR AVE, COATESVILLE, PA, 19320","Match","Exact","10 MONTCLAIR AVE, COATESVILLE, PA, 19320",39.974689819,-75.818116968,"642565877","L","42","029","311600","1009"
10,"10 MONTE AVE, PIEDMONT, CA, 94611","Match","Exact","10 MONTE AVE, PIEDMONT, CA, 94611",37.8306031010001,-122.232909148,"125001750","L","06","001","426100","1002"
11,"10 MONTERA AVE, FREDERICKSBURG, VA, 22406","Match","Exact","10 MONTERA AVE, FREDERICKSBURG, VA, 22406",38.3354753410001,-77.518123571,"632546286","R","51","179","010307","2030"
12,"10 MOONSTONE, IRVINE, CA, 92602","Match","Exact","10 MOONSTONE, IRVINE, CA, 92602",33.731227818,-117.777552852,"627013619","R","06","059","052434","2026"
13,"10 MORNINGSIDE DR, LIVINGSTON, NJ, 7039","Match","Exact","10 MORNINGSIDE DR, LIVINGSTON, NJ, 07039",40.8068268530001,-74.334169141,"63457132","R","34","013","020400","4025"
14,"10 MORTIMER DRIVE, OLD GREENWICH, CT, 6870","Match","Exact","10 MORTIMER DR, OLD GREENWICH, CT, 06870",41.027391768,-73.570089879,"3245124","L","09","001","011000","3005"
15,"10 MOUNTBATTEN CT APT 202, GWYNN OAK, MD, 21207","Match","Exact","10 MOUNTBATTEN CT, GWYNN OAK, MD, 21207",39.3278482590001,-76.729582568,"640448604","R","24","005","402404","2000"
16,"10 N 11TH ST, WYANDANCH, NY, 11798","Match","Exact","10 N 11TH ST, WYANDANCH, NY, 11798",40.757741772,-73.3588288729999,"113969236","L","36","103","122406","3003"
17,"10 N 28TH ST, LAS VEGAS, NV, 89101","Match","Exact","10 N 28TH ST, LAS VEGAS, NV, 89101",36.159764524,-115.111507355,"652655263","L","32","003","000523","1013"
18,"10 N CALVERT STREET UNIT 524, BALIMORE, MD, 21202","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"10 N CALVERT STREET UNIT 524, BALTIMORE, MD, 21202","Match","Non_Exact","10 CALVERT ST, BALTIMORE, MD, 21225",39.2347909700001,-76.6108315879999,"206438158","L","24","510","250401","3029"
20,"10 N CALVERT STREET, BALTIMORE, MD, 21202","Match","Exact","10 N CALVERT ST, BALTIMORE, MD, 21202",39.2903525250001,-76.6124517599999,"206433486","L","24","510","040100","3042"
21,"10 N GALENA STE 210, FREEPORT, IL, 61032","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"10 N GREENWOOD AVE APT S104, TULSA, OK, 74120","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"10 N GREENWOOD AVE S105, TULSA, OK, 74120","Tie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"10 N HARVEYSBURG RD, HARVEYSBURG, OH, 45032","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"10 N MISSISSIPPI AVE, ATLANTIC CITY, NJ, 8401","Match","Exact","10 N MISSISSIPPI AVE, ATLANTIC CITY, NJ, 08401",39.358168176,-74.4398045029999,"646918603","L","34","001","002300","2022"
26,"10 NATHALIE COURT, CORTLANDT MANOR, NY, 10567","Match","Exact","10 NATHALIE CT, CORTLANDT MANOR, NY, 10567",41.2746807950001,-73.852927775,"139725365","R","36","119","014606","3000"
27,"10 NE 141ST AVE, PORTLAND, OR, 97230","Match","Exact","10 NE 141ST AVE, PORTLAND, OR, 97230",45.5226193390001,-122.518363205,"157556842","R","41","051","009302","2019"
28,"10 NE 20TH ST, CAPE CORAL, FL, 33909","Match","Non_Exact","10 NE 20TH ST, CAPE CORAL, FL, 33909",26.6897162430001,-81.970531915,"118007058","R","12","071","010206","3030"
29,"10 NE 3RD STREET, FLORIDA CITY, FL, 33034","Match","Non_Exact","10 NE 3RD ST, FLORIDA CITY, FL, 33034",25.450753466,-80.477047861,"116092589","R","12","086","011409","3030"
30,"10 NE 99TH BLVD, WILDWOOD, FL, 34785","No_Match",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"10 NECK ROAD, ROCHESTER, MA, 2770","Match","Exact","10 NECK RD, ROCHESTER, MA, 02770",41.755875368,-70.845419454,"87463669","L","25","023","541100","1019"
32,"10 NELSON LANE, REHOBOTH, MA, 2769","Match","Exact","10 NELSON LN, REHOBOTH, MA, 02769",41.8990483150001,-71.2172762929999,"46759042","L","25","005","633100","2008"
33,"10 NEW BEGIN AVENUE, LEWISTON, ME, 4240","Match","Non_Exact","10 NEWBEGIN AVE, LEWISTON, ME, 04240",44.130097307,-70.1984719449999,"77961226","L","23","001","020900","2015"
34,"10 NEW BOND ST, WORCESTER, MA, 1606","Match","Exact","10 NEW BOND ST, WORCESTER, MA, 01606",42.305717945,-71.8025322349999,"40084437","R","25","027","730100","1023"
35,"10 NIXON STREET, CUMBERLAND, RI, 2864","Match","Exact","10 NIXON ST, CUMBERLAND, RI, 02864",41.966866463,-71.4591056469999,"47452723","R","44","007","011403","2025"
36,"10 NOE ROAD, BLAIRSTOWN, NJ, 7825","Match","Exact","10 NOE RD, BLAIRSTOWN, NJ, 07825",40.982373802,-74.9905611519999,"98110530","R","34","041","031101","1052"
37,"10 NOEL COURT, AMAWALK, NY, 10501","Match","Exact","10 NOEL CT, AMAWALK, NY, 10501",41.2955725,-73.767411532,"139728426","L","36","119","014908","1017"
38,"10 NORMANDY CT, HILLSBOROUGH, CA, 94010","Match","Exact","10 NORMANDY CT, HILLSBOROUGH, CA, 94010",37.5582168020001,-122.334998458,"192377611","L","06","081","605700","1015"
39,"10 NORMANDY ROAD, LARCHMONT, NY, 10538","Match","Exact","10 NORMANDY RD, LARCHMONT, NY, 10538",40.934852408,-73.7665109169999,"139751765","R","36","119","007000","2006"
40,"10 NORTH 1ST AVENUE EAST SUITE 204, ELY, MN, 55731","Match","Exact","10 N 1ST AVE E, ELY, MN, 55731",47.9024429300001,-91.865403728,"163157040","L","27","137","015300","2017"
41,"10 NORTH AVENUE, MENDON, MA, 1756","Match","Exact","10 NORTH AVE, MENDON, MA, 01756",42.109231208,-71.55487347,"40068487","R","25","027","746100","2001"
